# Fonte: Wikidata SPARQL, proprieta' P1448 (nome ufficiale) e P1705 (native label)
# NON rdfs:label: in tedesco restituisce esonimi (Milano -> "Mailand"), non i nomi statutari
# Licenza: CC0 1.0 (Wikidata) - https://www.wikidata.org/wiki/Wikidata:Licensing
# Data di scarico: 2026-08-18
# Rigenerazione: npx tsx scripts/fetch-wikidata-territorial.ts
istat_code,alias
048014,Città di Empoli
080063,Reggio Calabria
084001,Girgenti
085004,Cartanissetta
085004,Nissa
001254,Sant Seond
001256,Santantunin
001275,La Tor dël Pélis
001285,Voudjiň
001289,Varisela
015146,Milan
001272,Turin
027042,Venesia
010025,Zena
092009,Cagliari
092009,Castéddu
082053,Panormus
082053,Palermu
082053,Palièimmu
007003,Aoste
004078,Coni
006003,Lissàndria
108033,Monscia
021008,Bozen
031007,Goritz
031007,Gorica
032001,Devin Nabrežina
006020,Ël Borgh ëd San Martin
006045,Castellania
006076,Fubine
024079,Poiana Maggiore
023030,Costermano
023014,Brenzone
023052,Negrar
027001,Danon
027011,Concuardie
098061,Comune di Zelo Buon Persico
015209,Sest San Giovann
024084,Recoaro
001307,Lhi Vialars
001313,Vjy
091073,Posada
067041,Tèreme
009056,Sann-a
035033,Reggio Emilia
039014,Ravvena
090064,Sassari
090064,Tàtari
114027,Nùgoro
095038,Oristano
091037,Lanusei
091095,Tortolì
119009,Igrèsias
083048,Comune di Messina
006144,Comune di Rivalta Bormida
005014,Calliano
064096,Savignano
090065,Sedini
062016,Castelfranco
087004,Jaciriali
004051,Castellinaldo
004115,Comune di Mango
013107,Olonium
030005,Darte
018073,Godiasco
001001,Ajé
001003,Ala
001008,Alpignan
001010,Andrà
001013,Vian-a
001014,Asèj
001022,Bardonescha
001022,Bardonecia
001023,Baron
001024,Beinasch
001045,Butijera Àuta
018122,Rivanazzano
025066,Vodo di Cadore
030189,Plodn
108008,Besana Briansa
039001,Agl'Infulsẽ
039007,Zirvia
031020,Sant Lurinç dal Lusinç
031021,San Pieri dal Lusinç
031025,Vileš
093002,Darbe
093021,Vile di Flum
093038,Sant Zorç de Richinvelde
093039,Sant Martin di Voleson
093040,San Quarin
093041,San Vît dal Tiliment
093049,Vît
093050,Vivâr
030001,Daèl
030002,Damâr
030004,Aquilêe
076011,Barilli
076099,Zhura
080053,Montebello Ionico
007058,Sent-Cretôblo
007058,Sèn-Crétoublo
007060,Én-Mar'éi
007065,Sèn-Veunsein
090068,Siligo
063058,Pumpeje
030106,San Vît di Feagne
030104,Sante Marie la Lungje
062075,Comune di Tocco Caudio
086001,Aggira
086002,Aiduni
061012,Cancello e Arnone
005020,Casorzo
005031,Castelnuovo d’Asti
030023,Çarvignan
030064,Muçane
030086,Podbonesec
030100,San Zorç di Noiâr
030101,San Zuan dal Nadison
030103,Špeter Slovenov
030103,Špietar
030105,Sant Vît de Tor
064005,Ariano
064040,Guardia Lombarda
064040,Comune di Guardia Lombardi
064040,Guardia dei Lombardi
064040,Guardiae de Lombardis
064040,Guardialombarda
064040,Guardiae Longobardorum
078029,Cassano allo Ionio
018154,Borgofranco
019107,Torre de' Malamberti
021015,Kaltern an der Weinstraße
021110,Vintl
111002,Armungia
111002,Armunja
092003,Assemini
111003,Ballao
111007,Burcei
092011,Capoterra
111011,Castiadas
092015,Decimomannu
111013,Decimoputzu
111014,Dolianova
111017,Donori
092108,Elmas
111019,Escolca
111020,Esterzili
111025,Gergei
111026,Gesico
111032,Guamaggiore
068033,Popoli
067008,Città di Campli
083009,U Capu
030111,Srednje
030113,Taipane
030113,Tipana
030127,Taržizem
030130,Vildivar
030132,Verzegnas
030133,Vile di Cjargne
030135,Visc
030136,Zui
079005,Dandalli
002002,Im Land
063083,Torr'Annunziata
004243,Vigneul
004245,Vilaneuva dël Mondvì
004248,Vinai
043043,Monte Santo
111033,Guasila
012143,Cadregiá con Üsmàa
071003,Anzano degli Irpini
081001,Àrcamu
083005,Comune di Barcellona Pozzo di Gotto
088001,Acati
088005,Spaccaforno
088010,Santa Cruci Camarina
028046,Loreja
095074,Zeddiani
021011,Brixen
095086,Sagama
095014,Bidonì
011022,Porto Venere
095075,Zerfaliu
091067,Orune
051026,Castello di Montevarchi
051033,Castel San Giovanni
017158,Puegnago sul Garda
111039,Mandas
092037,Maracalagonis
111041,Monastir
092109,Monserrato
111042,Muravera
111045,Nuragus
111046,Nurallao
111047,Nuraminis
111048,Nurri
111050,Orroli
111051,Ortacesus
111055,Pimentel
092105,Quartucciu
092051,Quartu Sant'Elena
092051,Cuartu Sant'Aleni
092050,Pula
111058,Sadali
111060,Samatzai
111061,San Basilio
111061,Santu 'Asili
111064,San Nicolò Gerrei
111065,San Sperate
111065,Santu Sperau
111069,Sant'Andrea Frius
111069,Santu Andria Frius
111066,San Vito
111066,Santu 'Idu
092066,Sarroch
111074,Selegas
111075,Senorbì
111076,Serdiana
111079,Serri
092074,Sestu
111082,Seulo
111084,Siliqua
111085,Silius
092080,Sinnai
111086,Siurgus Donigala
111087,Soleminis
111088,Suelli
111093,Ussana
092090,Uta
111095,Vallermosa
083080,Comune di San Pier Niceto
083080,San Pieru Nicetu
111099,Villanova Tulo
111103,Villaputzu
111104,Villasalto
092099,Villa San Pietro
092099,Santu Perdu
092099,Santu Pedru
111105,Villasimius
111106,Villasor
111106,Biddesorris
111107,Villaspeciosa
111006,Buggerru
111016,Domusnovas
111021,Fluminimaggiore
111043,Musei
119014,Perdaxus
