# Fonte: Wikidata SPARQL (P31=comune italiano Q747074, P635=codice ISTAT, P625=coordinata)
# Licenza: CC0 1.0 (Wikidata) - https://www.wikidata.org/wiki/Wikidata:Licensing
# Data di scarico: 2026-08-18
# Rigenerazione: npx tsx scripts/fetch-wikidata-territorial.ts
istat_code,latitude,longitude
006114,44.759167,8.785556
016088,45.661695,9.914825
001198,44.955983,7.182779
001295,45.383333,7.950000
001213,45.118350,7.888125
001263,44.958226,6.878825
001246,45.316667,7.816667
001243,45.142748,7.535817
001260,44.892700,7.493611
001270,45.133333,7.050000
001300,44.783333,7.500000
001233,45.458058,7.851118
001215,44.986444,7.869471
001261,45.383333,7.833333
001280,44.977125,7.743803
001235,45.450554,7.845243
001229,45.137946,7.384830
001208,45.426757,7.781617
001248,45.217050,7.630520
001199,45.420527,7.596855
001218,45.250497,7.717727
001206,45.367754,7.616915
001217,45.331216,7.717134
001238,45.382254,7.621015
001214,45.034045,7.518419
001241,45.026144,7.448118
001285,45.083333,7.333333
001279,45.266667,7.433333
001258,44.933333,6.866667
001236,45.227052,7.785021
001223,45.388657,7.866520
001230,45.468258,7.754616
001222,44.924692,7.331324
001219,45.069715,7.517676
001240,45.226467,7.657165
001251,45.350000,7.666667
001234,44.940652,7.053245
001281,45.050000,7.033333
001282,45.233333,7.216667
001255,45.100000,7.366667
001254,44.866667,7.300000
001278,45.516667,7.750000
001221,45.308854,7.575863
001224,45.499737,7.546855
001293,45.183333,7.966667
001268,45.423058,7.768563
001200,44.887293,7.267971
001226,44.792136,7.199017
001204,44.904484,7.211400
001273,45.216667,7.966667
001269,45.383333,7.883333
001232,45.072040,6.883205
001267,45.416667,7.550000
001299,44.850000,7.500000
001262,45.100000,7.883333
001211,45.052056,7.430403
001298,45.433333,7.750000
001287,45.366667,7.650000
001294,45.150000,8.100000
001227,45.001413,7.129432
001242,44.898550,7.241175
001228,45.067945,7.465117
001264,45.400000,8.000000
001216,45.332553,7.632916
001252,45.150000,7.850000
001231,45.358526,7.689239
001209,45.524529,7.833132
001291,45.150000,7.016667
001220,45.200049,7.568917
001301,45.235182,7.547521
001288,45.516667,7.550000
001289,45.210057,7.489448
001259,45.026667,6.858056
001207,45.352753,7.596015
001201,45.016217,6.942453
001253,45.161259,7.941672
001296,45.383333,7.816667
001245,45.127982,7.177985
001247,45.400000,7.816667
001205,44.865792,7.268223
001250,44.933886,7.292996
001237,45.247826,7.610843
001239,45.135444,7.213011
001244,45.334155,7.796819
001212,45.432040,7.501950
001202,44.889287,7.048861
001292,45.116667,7.633333
001286,45.228863,7.486200
001256,45.107069,7.272267
001257,44.950000,7.783333
001271,45.550000,7.816667
001276,45.033333,7.416667
001290,45.280146,7.625583
001265,45.133333,7.766667
001203,44.859744,7.901431
001210,45.562960,7.807315
001303,45.116667,7.383333
001283,45.102340,7.289410
001249,45.103889,7.753611
001274,45.399120,7.755812
001266,45.550000,7.833333
001225,45.246775,7.965426
001275,44.820278,7.223333
055020,42.921614,12.092701
041044,43.910150,12.913300
055012,42.620559,12.790071
055022,42.519298,12.515138
099014,44.059444,12.568333
102047,38.675278,16.095900
001305,45.116667,7.233333
015250,45.516667,9.100000
055030,42.869146,12.266493
086009,37.566667,14.266667
055019,42.597074,12.766300
117025,39.457800,8.742371
081021,38.017500,12.515000
045010,44.033333,10.133333
001307,44.916667,7.250000
093028,45.858333,12.927778
056059,42.418611,12.104167
057059,42.404430,12.856702
059011,41.467222,12.903611
055024,42.423233,12.478282
035033,44.700000,10.633333
091073,40.631282,9.719810
084001,37.310650,13.576610
055017,42.649841,12.487840
006039,45.134167,8.458333
085004,37.491472,14.062444
001314,45.200000,7.783333
073027,40.471111,17.243056
001312,45.433333,7.766667
060038,41.633333,13.350000
042021,43.523775,13.246197
095038,39.905819,8.591609
109006,43.161284,13.718397
001310,44.866667,7.566667
067041,42.658853,13.703911
040012,44.222778,12.041389
055028,42.687241,12.102129
001309,44.950000,7.633333
055018,42.662391,12.287062
001311,45.333333,7.950000
117015,39.561103,8.899956
091095,39.933333,9.650000
083048,38.193611,15.554167
001313,45.238333,7.375556
043023,43.300278,13.453333
075035,40.352011,18.169139
069022,42.351114,14.167428
055016,42.574317,12.330548
050026,43.716667,10.400000
055027,42.584883,12.843929
088009,36.925000,14.730556
064008,40.915278,14.789722
055015,42.623587,12.297160
001315,44.950000,7.500000
090064,40.726667,8.559167
001308,44.916667,7.750000
091037,39.878679,9.541454
033032,45.050000,9.700000
055029,42.613417,12.546393
113017,40.916667,9.500000
